Reporte: Grizzlies escuchar ofertas por Gasol y Conley|1h ago|Memphis Grizzlies|https://es.nba.com/news/nba-2019-grizzlies-ofertas-trade-marc-gasol-mike-conley-adrian-wojnarowski/1wz7evp31t9qa1h59t3qk6gof5|https://es.nba.com/contestant/memphis-grizzlies/news/6852gp031v6xp16mq18wszkwh
Todos los partidos de NBA que se verán por TV en España|8h ago|NBA|https://es.nba.com/news/todos-los-partidos-de-nba-que-se-veran-por-tv-en-espana/1vnqywr06yvmx1d4rgb0qnejgf|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Rondo, listo para volver con los Lakers|8h ago|Los Angeles Lakers|https://es.nba.com/news/nba-2019-buena-noticia-los-abgeles-lakers-rajon-rondo-preparado-para-volver/1dn62uviza90v10pbkanugqn19|https://es.nba.com/contestant/los-angeles-lakers/news/2ja1jlnhsy0ksuvvxzff3ky9e
Klay Thompson explota en enero|9h ago|Golden State Warriors|https://es.nba.com/news/nba-2019-klay-thompson-explota-enero-vuelve-mejor-version-escolta-golden-state-warriors/1654q0nxk260c1udm78zzxvnl9|https://es.nba.com/contestant/golden-state-warriors/news/btbrq55c3e6btsf1z2poaakb4
Embiid y Jokic, los mejores de la última semana|10h ago|NBA|https://es.nba.com/news/nba-2018-2019-jugadores-de-la-semana/5qqqjp4dh5xp1atsfk56lxl0g|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Una serie de castastróficas desdichas, por Nunnally|11h ago|Houston Rockets|https://es.nba.com/news/nba-2019-una-serie-de-castastroficas-desdichas-dejan-james-nunnally-sin-contrato/1ida27o6evg9w1ij2isqzvllco|https://es.nba.com/contestant/houston-rockets/news/asgv2w5m47fumtkhyazfn574f
¿Qué partidos hay hoy?|13h ago|Dallas Mavericks|https://es.nba.com/news/que-partidos-hay-hoy-en-el-league-pass-como-ver-online-y-en-directo-el-blazers-vs-thunder-y-el-clippers-vs-mavs/17utxj3gvmjoj1j9xh04jm7wws|https://es.nba.com/contestant/dallas-mavericks/news/5gmza9irdgvwsg7av048y551v
Carmelo: La divina tragedia|14h ago|Chicago Bulls|https://es.nba.com/news/carmelo-anthony-la-divina-tragedia/1jabemd7sip5h1utmfotqz260u|https://es.nba.com/contestant/chicago-bulls/news/cfqu8fhvtu5hm13vrwxeh4x05
NBA, Ecovidrio y una cancha pionera en Madrid|15h ago|NBA|https://es.nba.com/news/la-nba-y-ecovidrio-presentan-en-madrid-la-primera-cancha-de-vidrio-reciclado-del-mundo/1i0pcevzjye5b1ui24cph05kvw|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Guía All Star 2019: todo lo que necesitas saber|16h ago|NBA|https://es.nba.com/news/guia-nba-all-star-2019-charlotte-todo-necesitas-saber-votaciones-sistema-seleccion-jugadores/u3lveppm0i9tz22d9o5a4uvt|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Ricky regresa y Mirotic vence a Marc Gasol|18h ago|Utah Jazz|https://es.nba.com/news/ricky-rubio-regresa-en-la-derrota-contra-blazers-y-mirotic-le-gana-el-duelo-a-marc-gasol/1rukm6hp7c9kf1jhai2rp46ae4|https://es.nba.com/contestant/utah-jazz/news/6he5mn680h7n78opv2zjjlild
Klay aplasta a los Lakers: 44 puntos y 10 triples|19h ago|Los Angeles Lakers|https://es.nba.com/news/klay-thompson-44-puntos-y-10-triples-rompe-todos-los-records-warriors-aplastan-a-los-lakers/1awv0uck5dc3f1byhpz06ghvjr|https://es.nba.com/contestant/los-angeles-lakers/news/2ja1jlnhsy0ksuvvxzff3ky9e
Embiid pone fin al récord de Harden|19h ago|Philadelphia 76ers|https://es.nba.com/news/el-mejor-joel-embiid-sentencia-a-james-harden-y-los-rockets-con-un-durisimo-triunfo/184smlgnhdidn1h42jcgmguful|https://es.nba.com/contestant/philadelphia-76ers/news/6n0ha9kzay94zalli108m7fp1
Irving al rescate contra Miami: récord de robos|20h ago|Boston Celtics|https://es.nba.com/news/kyrie-irving-sale-al-rescate-contra-los-irreverentes-miami-heat-y-emula-a-larry-bird/1pec1gee6vuo11b6x0m9trli97|https://es.nba.com/contestant/boston-celtics/news/2w4j5p0pwwlxmcd5vceuu0rrv
Wizards y Nets, objetivo playoffs|01/21/2019|Brooklyn Nets|https://es.nba.com/news/nba-2019-objetivo-playoffs-los-nets-y-wizards-ganan-en-el-martin-luther-king-day/ee57a33f1q7f1mh4xwe3g11ac|https://es.nba.com/contestant/brooklyn-nets/news/a6a8ao1fyhpxswr8sizvg9hwa
Rockets traspasan a Melo a Chicago|01/21/2019|Houston Rockets|https://es.nba.com/news/informe-los-houston-rockets-traspasan-a-carmelo-anthony-a-los-chicago-bulls/6p8z1zh6o43i1bne54heo4dlo|https://es.nba.com/contestant/houston-rockets/news/asgv2w5m47fumtkhyazfn574f
¡¡¡Histórico Doncic!!! 2º triple-doble más joven|01/21/2019|Dallas Mavericks|https://es.nba.com/news/nba-luka-doncic-historia-segundo-triple-doble-mas-joven-dallas-mavericks-milwaukee-bucks/oi1fw50gfwni19jzfhcn5t5xf|https://es.nba.com/contestant/dallas-mavericks/news/5gmza9irdgvwsg7av048y551v
D’Angelo y Harden, mejores de la semana|01/21/2019|Houston Rockets|https://es.nba.com/news/dangelo-russell-y-james-harden-mejores-jugadores-nba-de-la-semana-14/10otmodkldb1p1klsl21eh7nix|https://es.nba.com/contestant/houston-rockets/news/asgv2w5m47fumtkhyazfn574f
Abrines 'reaparece' en el Madison|01/21/2019|Oklahoma City Thunder|https://es.nba.com/news/nba-oklahoma-city-thunder-derrotan-facil-new-york-knicks-alex-abrines-reaparece-madison/18rd9o1kofv6p1uo6k1yo1tadm|https://es.nba.com/contestant/oklahoma-city-thunder/news/4kjso6vrhugyaktbc7751ijm1
35.000 dólares de multa para Marcus Smart|01/21/2019|Boston Celtics|https://es.nba.com/news/nba-multa-a-marcus-smart-pero-evita-la-sancion/koli6h5ww11z1udgppr79q8rt|https://es.nba.com/contestant/boston-celtics/news/2w4j5p0pwwlxmcd5vceuu0rrv
LGTB+ en la NBA: Una lucha por la integración y la diversidad|01/21/2019|NBA|https://es.nba.com/news/lgtb-en-la-nba-una-lucha-por-la-integracion-y-la-diversidad/1ve0atzzbkd441fxnd3yhyvzdy|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Equipo League Pass de la semana: Celtics|01/21/2019|NBA|https://es.nba.com/news/equipo-nba-league-pass-semana-boston-celtics/953d5ikqdouv1982889uatr24|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
NBA Power Rankings: semana 14|01/21/2019|NBA|https://es.nba.com/news/nba-2019-power-rankings-semana-14/1qtbvahkiz64b136if6746mhwv|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
MLK Day: historia, partidos, curiosidades...|01/21/2019|NBA|https://es.nba.com/news/dia-de-martin-luther-king-en-la-nba-historia-partidos-curiosidades/1az82ikuqcked196izgd18nuis|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Dennis Smith Jr se reincorpora a los Mavs|01/21/2019|Dallas Mavericks|https://es.nba.com/news/dennis-smith-se-reincorpora-a-los-mavericks-segun-su-entrenador-rick-carlisle/1nshpdici1v6t1odb2q2c66q15|https://es.nba.com/contestant/dallas-mavericks/news/5gmza9irdgvwsg7av048y551v
Lonzo Ball: fuera hasta después del All-Star|01/21/2019|Los Angeles Lakers|https://es.nba.com/news/lonzo-ball-estara-entre-cuatro-y-seis-semanas-de-baja-por-lesion/n76dxq1sbf8a1g86bov6tq7ub|https://es.nba.com/contestant/los-angeles-lakers/news/2ja1jlnhsy0ksuvvxzff3ky9e
Harris y los Clippers se pasean ante los Spurs|01/21/2019|San Antonio Spurs v Los Angeles Clippers|https://es.nba.com/news/tobias-harris-y-los-clippers-dan-un-bano-a-los-spurs-de-popovich-pese-a-los-30-de-aldridge/8jmrhz72zuhq1ln4uphf9bvuv|https://es.nba.com/fixture/san-antonio-spurs-v-los-angeles-clippers/news/6rny918vwmbdantgb8903e7vu
Regreso al pasado: Rose se viste de héroe y da la victoria sobre la bocina|01/21/2019|Minnesota Timberwolves|https://es.nba.com/news/regreso-al-pasado-derrick-rose-se-viste-de-heroe-y-da-la-victoria-sobre-la-bocina/1mod4x7hjwjyq1hkq7m4kjtbo3|https://es.nba.com/contestant/minnesota-timberwolves/news/9874pqsc90jpfnwvpqigb775a
Oladipo (21+7) pone fin a la racha de los Hornets|01/21/2019|NBA|https://es.nba.com/news/victor-oladipo-217-pone-fin-a-la-racha-de-los-hornets-de-willy-hernangomez/ai7qghfiauwe1hg3wdh7rkzuk|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
#NBASundays: hoy en el League Pass|01/20/2019|NBA|https://es.nba.com/news/que-partidos-hay-hoy-en-el-league-pass-como-ver-online-y-en-directo-el-pacers-vs-hornets-nbasundays/165gqslgsiese17y1k5e42dcgf|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Los 154 partidos NBA con 50+ puntos en el siglo XXI|01/20/2019|NBA|https://es.nba.com/news/todos-los-partidos-de-50-puntos-o-mas-en-la-nba-en-el-siglo-xx/d2timfki2dda15se6kc9o0ttw|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Las aventuras diarias de Doncic en la NBA|01/20/2019|Dallas Mavericks|https://es.nba.com/news/diario-de-un-novato-nba-el-dia-a-dia-de-luka-doncic-en-los-dallas-mavericks/13dzuvru2zni91qp2eex29w2lx|https://es.nba.com/contestant/dallas-mavericks/news/5gmza9irdgvwsg7av048y551v
¿Cambiando el baloncesto? Harden y sus datos|01/20/2019|Houston Rockets|https://es.nba.com/news/estan-los-rockets-cambiando-el-baloncesto-analizamos-los-datos-de-james-harden/10mhqbbztj4f21g9hlk7ukb7cg|https://es.nba.com/contestant/houston-rockets/news/asgv2w5m47fumtkhyazfn574f
Wade, Jokic y Hield, protagonistas|01/20/2019|NBA|https://es.nba.com/news/nba-2019-dwyane-wade-nikola-jokic-buddy-hield-protagonistas/y4fgm6c4plvx1dm9ic5gwnkfs|https://es.nba.com/competition/nba/news/e2w9iicoifx689pzi5jqw7j4a
Irving brilla y Smart pierde la cabeza|01/20/2019|Boston Celtics|https://es.nba.com/news/nba-2019-kyrie-irving-brilla-remontada-boston-celtics-marcus-smart-pierde-cabeza/16k5gljd3cpv11w7j0s6juwbe0|https://es.nba.com/contestant/boston-celtics/news/2w4j5p0pwwlxmcd5vceuu0rrv
Paul George mantiene viva la mejor racha NBA|01/20/2019|Oklahoma City Thunder|https://es.nba.com/news/nba-2019-paul-george-mantiene-viva-mejor-racha-actual-19-victorias-seguidas-oklahoma-city-thunder-vs-philadelphia-sixers/rxdgpoudmp3o1cgmd9fgb2oy1|https://es.nba.com/contestant/oklahoma-city-thunder/news/4kjso6vrhugyaktbc7751ijm1
Nueva lesión en los Lakers: ahora Lonzo Ball|01/20/2019|Los Angeles Lakers|https://es.nba.com/news/nba-2019-nueva-lesion-los-angeles-lakers-lonzo-ball-esguince-tobillo-izquierdo/1tn6htmus862m10kblrmlif15e|https://es.nba.com/contestant/los-angeles-lakers/news/2ja1jlnhsy0ksuvvxzff3ky9e
